paper
"R. Mahadshetti, G.-S. Lee and D.-J. Choi, ""Feature Decomposition Network-based method Scene Text recognition"", Korea Smart Media Society 2023 General Conference, 2023.
"
"R. Mahadshetti, G.-S. Lee, S.-H. Kim, and H.-J. Yang, ""LHFAN: Scene Text Recognition Method Based on Multi-level Feature Fusion and Enhancement of Semantic Knowledge"", The 29th International Workshop on Frontiers of Computer Vision, 2023.
"
"R. Mahadshetti, G.-S. Lee, S.-H. Kim, and H.-J. Yang, ""RFPN: End-to-end and Efficient Scene Text Recognition using Feature Pyramid Network"", The 10 International Conference on Big Data Applications and Services, 2022.
"
